,Unnamed: 0,confidence,start_second,text,sentiment_score,key_phrases
0,0,0.6105474,0,yeah yeah,0.997897526735,[u'']
1,1,0.0,10000,,0.5,[u'NaN']
2,2,0.7409678,100000,will it be with single women single double single,0.5,[u'single women single double single']
3,3,0.8230013,105000,will it be with single women single we will sync up for this after this meeting,0.5,"[u'single women single', u'meeting']"
4,4,0.0,110000,,0.5,[u'NaN']
5,5,0.7723218,115000,if we can accept but we can discuss this word for speed to focus on,0.908212045512,"[u'word', u'speed']"
6,6,0.7966484,120000,set but we can discuss this way to focus on,0.5,"[u'set', u'way']"
7,7,0.0,125000,,0.5,[u'NaN']
8,8,0.0,130000,,0.5,[u'NaN']
9,9,0.0,135000,,0.5,[u'NaN']
10,10,0.0,140000,,0.5,[u'NaN']
11,11,0.0,145000,,0.5,[u'NaN']
12,12,0.0,15000,,0.5,[u'NaN']
13,13,0.0,150000,,0.5,[u'NaN']
14,14,0.0,155000,,0.5,[u'NaN']
15,15,0.0,160000,,0.5,[u'NaN']
16,16,0.7065296,165000,thank you for the nice name,0.999527566025,[u'']
17,17,0.7065296,170000,thank you for the nice name,0.999527566025,[u'']
18,18,0.0,175000,,0.5,[u'NaN']
19,19,0.0,180000,,0.5,[u'NaN']
20,20,0.0,185000,,0.5,[u'NaN']
21,21,0.0,190000,,0.5,[u'NaN']
22,22,0.0,195000,,0.5,[u'NaN']
23,23,0.0,20000,,0.5,[u'NaN']
24,24,0.0,200000,,0.5,[u'NaN']
25,25,0.0,205000,,0.5,[u'NaN']
26,26,0.0,210000,,0.5,[u'NaN']
27,27,0.8757758,215000,wow,0.992681502042,[u'']
28,28,0.9415749,220000,wow,0.992681502042,[u'']
29,29,0.689155,225000,OK to do it matter,0.994113450203,[u'']
30,30,0.0,230000,,0.5,[u'NaN']
31,31,0.0,235000,,0.5,[u'NaN']
32,32,0.0,240000,,0.5,[u'NaN']
33,33,0.0,245000,,0.5,[u'NaN']
34,34,0.0,25000,,0.5,[u'NaN']
35,35,0.0,250000,,0.5,[u'NaN']
36,36,0.7631475,255000,yeah,0.988698469206,[u'']
37,37,0.7529376,260000,yeah,0.988698469206,[u'']
38,38,0.8564523,265000,yeah,0.988698469206,[u'']
39,39,0.8349767,270000,project manager is the right person to give all this clinician,0.711136938655,"[u'right person', u'project manager']"
40,40,0.0,275000,,0.5,[u'NaN']
41,41,0.8331237,280000,yeah,0.988698469206,[u'']
42,42,0.6357089,285000,yeah only,0.852387516549,[u'']
43,43,0.0,290000,,0.5,[u'NaN']
44,44,0.0,295000,,0.5,[u'NaN']
45,45,0.0,30000,,0.5,[u'NaN']
46,46,0.0,300000,,0.5,[u'NaN']
47,47,0.0,305000,,0.5,[u'NaN']
48,48,0.0,310000,,0.5,[u'NaN']
49,49,0.0,315000,,0.5,[u'NaN']
50,50,0.0,320000,,0.5,[u'NaN']
51,51,0.0,325000,,0.5,[u'NaN']
52,52,0.0,330000,,0.5,[u'NaN']
53,53,0.0,335000,,0.5,[u'NaN']
54,54,0.0,340000,,0.5,[u'NaN']
55,55,0.0,345000,,0.5,[u'NaN']
56,56,0.0,35000,,0.5,[u'NaN']
57,57,0.0,350000,,0.5,[u'NaN']
58,58,0.8694366,355000,there might be a chance that we will go to paris and do the party there,0.972579674466,"[u'paris', u'chance', u'party']"
59,59,0.9043208,360000,it might be a chance that we will go to paris and do the party there,0.97382193214,"[u'paris', u'chance', u'party']"
60,60,0.0,365000,,0.5,[u'NaN']
61,61,0.952518,370000,yeah that would be nice,0.994216869729,[u'']
62,62,0.0,375000,,0.5,[u'NaN']
63,63,0.0,380000,,0.5,[u'NaN']
64,64,0.8557746,385000,I just heard part time is working on that,0.5,[u'time']
65,65,0.824694,390000,I just heard part time is working on that and surgery is being there to help,0.864678824207,"[u'time', u'surgery']"
66,66,0.8373197,395000,search is being there to help,0.894499606913,[u'search']
67,67,0.0,40000,,0.5,[u'NaN']
68,68,0.0,400000,,0.5,[u'NaN']
69,69,0.0,405000,,0.5,[u'NaN']
70,70,0.0,410000,,0.5,[u'NaN']
71,71,0.0,415000,,0.5,[u'NaN']
72,72,0.0,420000,,0.5,[u'NaN']
73,73,0.0,425000,,0.5,[u'NaN']
74,74,0.0,430000,,0.5,[u'NaN']
75,75,0.0,435000,,0.5,[u'NaN']
76,76,0.0,440000,,0.5,[u'NaN']
77,77,0.0,445000,,0.5,[u'NaN']
78,78,0.0,45000,,0.5,[u'NaN']
79,79,0.0,450000,,0.5,[u'NaN']
80,80,0.0,455000,,0.5,[u'NaN']
81,81,0.0,460000,,0.5,[u'NaN']
82,82,0.0,465000,,0.5,[u'NaN']
83,83,0.0,470000,,0.5,[u'NaN']
84,84,0.0,475000,,0.5,[u'NaN']
85,85,0.0,480000,,0.5,[u'NaN']
86,86,0.0,485000,,0.5,[u'NaN']
87,87,0.0,490000,,0.5,[u'NaN']
88,88,0.0,495000,,0.5,[u'NaN']
89,89,0.0,5000,,0.5,[u'NaN']
90,90,0.0,50000,,0.5,[u'NaN']
91,91,0.0,500000,,0.5,[u'NaN']
92,92,0.0,505000,,0.5,[u'NaN']
93,93,0.0,510000,,0.5,[u'NaN']
94,94,0.0,515000,,0.5,[u'NaN']
95,95,0.8465858,520000,now your making weird faces,0.128598105785,[u'making weird faces']
96,96,0.0,525000,,0.5,[u'NaN']
97,97,0.686407,530000,nothing from my side,0.5,[u'']
98,98,0.686407,535000,nothing from my side,0.5,[u'']
99,99,0.0,540000,,0.5,[u'NaN']
100,100,0.0,545000,,0.5,[u'NaN']
101,101,0.0,55000,,0.5,[u'NaN']
